"Confirmation Number","Order Number","Trade Date","Buy/ Sell","Security","Units","Average Price ($)","Brokerage (inc GST.)","Net Proceeds ($)","Settlement Date","Confirmation Status"
96189943,"N115675438",09/03/20,"B","VHY",192,51.93,19.95,9990.51,11/03/20,"Confirmed"
96164541,"N115285838",09/03/20,"B","VAP",115,86.78,19.95,9999.65,11/03/20,"Confirmed"
96164375,"N115348022",09/03/20,"B","VAS",130,76.8,19.95,10003.95,11/03/20,"Confirmed"
96091609,"N115530212",05/03/20,"B","OOO",83,12.03,10,1008.49,09/03/20,"Confirmed"
95890616,"N115098709",28/02/20,"B","VAS",122,81.76,19.95,9994.67,03/03/20,"Confirmed"
95754866,"N115103564",26/02/20,"B","VAP",108,92.51,19.95,10011.03,28/02/20,"Confirmed"
95732864,"N115049805",26/02/20,"B","VHY",167,59.63,19.95,9978.16,28/02/20,"Confirmed"
95669827,"N115041465",25/02/20,"B","VAS",115,86.46,19.95,9962.85,27/02/20,"Confirmed"
95665853,"N115043295",25/02/20,"B","A200",87,114.21,19.95,9956.22,27/02/20,"Confirmed"
95607235,"N114969077",24/02/20,"B","VAS",112,89.08,19.95,9996.91,26/02/20,"Confirmed"
