Time,Price $,Volume,Value $,Market,Condition
4:10:16 PM,69.15,44,3042.6,ASX,
4:10:16 PM,69.15,590,40798.5,ASX,
4:10:16 PM,69.15,1799,124400.85,ASX,
4:10:16 PM,69.15,1751,121081.65,ASX,
4:10:16 PM,69.15,5206,359994.9,ASX,
4:10:16 PM,69.15,73633,5091721.95,ASX,
4:10:16 PM,69.15,3094,213950.1,ASX,
4:10:16 PM,69.15,3653,252604.95,ASX,
4:10:16 PM,69.15,22090,1527523.5,ASX,
4:10:16 PM,69.15,174,12032.1,ASX,
4:10:16 PM,69.15,500,34575,ASX,
4:10:16 PM,69.15,300,20745,ASX,
4:10:16 PM,69.15,8,553.2,ASX,
4:10:16 PM,69.15,2000,138300,ASX,
4:10:16 PM,69.15,100,6915,ASX,
4:10:16 PM,69.15,91,6292.65,ASX,
4:10:16 PM,69.15,358,24755.7,ASX,
4:10:16 PM,69.15,866,59883.9,ASX,
4:10:16 PM,69.15,260,17979,ASX,
4:10:16 PM,69.15,72,4978.8,ASX,
4:10:16 PM,69.15,844,58362.6,ASX,
4:10:16 PM,69.15,14,968.1,ASX,
4:10:16 PM,69.15,500,34575,ASX,
4:10:16 PM,69.15,69,4771.35,ASX,
4:10:16 PM,69.15,100,6915,ASX,
4:10:16 PM,69.15,15,1037.25,ASX,
4:10:16 PM,69.15,866,59883.9,ASX,
4:10:16 PM,69.15,7060,488199,ASX,
4:10:16 PM,69.15,10000,691500,ASX,
4:10:16 PM,69.15,2399,165890.85,ASX,
4:10:16 PM,69.15,1648,113959.2,ASX,
4:10:16 PM,69.15,42575,2944061.25,ASX,
4:10:16 PM,69.15,200,13830,ASX,
4:10:16 PM,69.15,300,20745,ASX,
4:10:16 PM,69.15,500,34575,ASX,
4:10:16 PM,69.15,2140,147981,ASX,
4:10:16 PM,69.15,50,3457.5,ASX,
4:10:16 PM,69.15,150,10372.5,ASX,
4:10:16 PM,69.15,50,3457.5,ASX,
4:10:16 PM,69.15,50,3457.5,ASX,
4:10:16 PM,69.15,13018,900194.7,ASX,
4:10:16 PM,69.15,23719,1640168.85,ASX,
4:10:16 PM,69.15,2605,180135.75,ASX,
