Time,Price $,Volume,Value $,Market,Condition
4:10:40 PM,8.56,800,6848,ASX,
3:58:25 PM,8.61,240,2066.4,ASX,
3:58:15 PM,8.61,206,1773.66,ASX,
3:58:15 PM,8.61,944,8127.84,ASX,XT
3:57:48 PM,8.61,56,482.16,ASX,
3:55:04 PM,8.6,1200,10320,ASX,
3:53:35 PM,8.6,250,2150,ASX,
3:49:11 PM,8.61,3000,25830,ASX,
3:48:58 PM,8.55,495,4232.25,ASX,
3:48:58 PM,8.58,25,214.5,ASX,
3:48:46 PM,8.61,230,1980.3,ASX,
3:45:47 PM,8.58,5000,42900,ASX,
3:45:02 PM,8.61,286,2462.46,ASX,
3:44:30 PM,8.58,11625,99742.5,ASX,
3:42:20 PM,8.61,500,4305,ASX,
3:37:59 PM,8.55,1600,13680,ASX,
3:30:54 PM,8.63,57,491.91,ASX,
3:30:42 PM,8.63,1773,15300.99,ASX,
3:29:01 PM,8.64,1500,12960,ASX,
3:28:31 PM,8.64,62,535.68,ASX,
3:28:12 PM,8.64,2200,19008,ASX,
3:28:12 PM,8.64,200,1728,ASX,
3:27:12 PM,8.63,5000,43150,ASX,
3:27:03 PM,8.62,587,5059.94,ASX,
3:25:08 PM,8.6,2,17.2,ASX,
3:23:13 PM,8.6,900,7740,ASX,
3:23:09 PM,8.6,293,2519.8,ASX,XT
3:23:09 PM,8.6,107,920.2,ASX,
3:22:47 PM,8.6,2000,17200,ASX,
3:20:13 PM,8.59,750,6442.5,ASX,
3:19:45 PM,8.58,890,7636.2,ASX,
3:19:19 PM,8.58,110,943.8,ASX,XT
3:13:31 PM,8.59,180,1546.2,ASX,XT
3:12:15 PM,8.59,470,4037.3,ASX,
3:11:42 PM,8.59,100,859,ASX,XT
3:02:20 PM,8.59,80,687.2,ASX,
3:00:55 PM,8.59,850,7301.5,ASX,XT
3:00:36 PM,8.59,110,944.9,ASX,XT
2:58:41 PM,8.59,60,515.4,ASX,XT
2:56:36 PM,8.53,439,3744.67,ASX,
2:56:36 PM,8.53,792,6755.76,ASX,
2:56:03 PM,8.59,1000,8590,ASX,XT
2:56:03 PM,8.58,1200,10296,ASX,
2:54:25 PM,8.58,300,2574,ASX,
2:52:35 PM,8.58,500,4290,ASX,
2:48:25 PM,8.6,580,4988,ASX,XT
2:47:50 PM,8.55,1949,16663.95,ASX,
2:47:29 PM,8.53,1356,11566.68,ASX,
2:46:21 PM,8.53,352,3002.56,ASX,
2:43:56 PM,8.55,235,2009.25,ASX,
2:42:46 PM,8.49,250,2122.5,ASX,
2:42:38 PM,8.55,1930,16501.5,ASX,
