Time,Price $,Volume,Value $,Market,Condition
4:10:40 PM,84.99,17,1444.83,ASX,
3:59:55 PM,84.34,22,1855.48,ASX,
3:59:49 PM,84.38,27,2278.26,ASX,
3:59:47 PM,84.13,1793,150845.09,ASX,
3:59:47 PM,84.13,849,71426.37,ASX,
3:59:47 PM,84.15,90,7573.5,ASX,
3:59:40 PM,84.35,27,2277.45,ASX,
3:59:02 PM,84.15,69,5806.35,ASX,
3:59:02 PM,84.15,12,1009.8,ASX,
3:59:02 PM,84.16,18,1514.88,ASX,
3:59:02 PM,84.16,63,5302.08,ASX,
3:58:49 PM,84.21,1,84.21,ASX,
3:58:49 PM,84.11,4,336.44,ASX,
3:58:49 PM,84.11,49,4121.39,ASX,
3:58:47 PM,84.11,37,3112.07,ASX,
3:58:44 PM,84.13,36,3028.68,ASX,
3:58:44 PM,84.13,54,4543.02,ASX,
3:57:59 PM,83.99,250,20997.5,ASX,
3:57:53 PM,84.02,107,8990.14,ASX,
3:57:53 PM,84.02,145,12182.9,ASX,
3:57:53 PM,84.02,144,12098.88,ASX,
3:57:48 PM,84.08,77,6474.16,ASX,
3:57:48 PM,84.08,184,15470.72,ASX,
3:57:00 PM,84.17,14,1178.38,ASX,
3:56:05 PM,84.1,217,18249.7,ASX,
3:56:05 PM,84.1,78,6559.8,ASX,
3:56:05 PM,84.1,61,5130.1,ASX,
3:55:13 PM,84.15,15,1262.25,ASX,
3:53:51 PM,83.99,102,8566.98,ASX,
3:53:44 PM,84.07,88,7398.16,ASX,
3:53:44 PM,84.07,90,7566.3,ASX,
3:53:34 PM,84,735,61740,ASX,
3:53:13 PM,83.99,158,13270.42,ASX,
3:53:13 PM,83.98,184,15452.32,ASX,
3:53:13 PM,83.98,90,7558.2,ASX,
3:53:13 PM,84,68,5712,CXA,
3:52:56 PM,83.99,30,2519.7,ASX,
3:52:56 PM,83.99,90,7559.1,ASX,
3:51:56 PM,83.96,683,57344.68,ASX,
3:51:47 PM,83.91,206,17285.46,ASX,
3:51:47 PM,83.92,22,1846.24,ASX,
3:51:47 PM,83.92,185,15525.2,ASX,
3:51:25 PM,83.96,297,24936.12,ASX,
3:51:18 PM,83.94,63,5288.22,ASX,
3:51:18 PM,83.94,87,7302.78,ASX,
3:50:26 PM,83.94,4,335.76,ASX,
3:50:22 PM,83.94,10,839.4,ASX,
3:50:22 PM,83.94,90,7554.6,ASX,
3:50:01 PM,83.85,235,19704.75,CXA,
3:50:01 PM,83.85,218,18279.3,CXA,
3:49:58 PM,83.85,310,25993.5,ASX,XT
3:49:04 PM,83.86,269,22558.34,ASX,
