Time,Price $,Volume,Value $,Market,Condition
4:10:40 PM,52,9,468,ASX,
3:53:00 PM,51.73,20,1034.6,ASX,
3:52:40 PM,51.73,48,2483.04,ASX,
3:52:40 PM,51.73,917,47436.41,ASX,
3:52:09 PM,51.73,82,4241.86,ASX,
3:49:22 PM,51.57,3500,180495,CXA,
3:49:06 PM,51.63,1,51.63,ASX,
3:48:28 PM,51.57,1014,52291.98,ASX,
3:48:21 PM,51.6,167,8617.2,ASX,
3:48:21 PM,51.6,133,6862.8,ASX,
3:47:55 PM,51.63,55,2839.65,CXA,
3:47:55 PM,51.63,20,1032.6,CXA,
3:46:58 PM,51.57,200,10314,ASX,
3:44:37 PM,51.62,31,1600.22,CXA,
3:43:38 PM,51.56,20,1031.2,CXA,
3:42:46 PM,51.48,389,20025.72,ASX,
3:42:30 PM,51.5,178,9167,ASX,
3:41:16 PM,51.48,145,7464.6,CXA,
3:41:01 PM,51.46,48,2470.08,ASX,
3:40:13 PM,51.43,347,17846.21,ASX,
3:40:13 PM,51.43,718,36926.74,ASX,
3:40:13 PM,51.43,100,5143,ASX,
3:39:12 PM,51.4,142,7298.8,ASX,
3:39:12 PM,51.4,402,20662.8,ASX,
3:39:12 PM,51.4,4,205.6,ASX,
3:39:12 PM,51.4,132,6784.8,ASX,
3:39:12 PM,51.4,88,4523.2,ASX,
3:38:52 PM,51.39,54,2775.06,ASX,
3:38:52 PM,51.39,100,5139,ASX,
3:38:40 PM,51.38,300,15414,ASX,
3:37:56 PM,51.41,100,5141,ASX,
3:36:24 PM,51.38,1,51.38,ASX,
3:36:09 PM,51.4,558,28681.2,ASX,
3:35:09 PM,51.42,107,5501.94,CXA,
3:32:37 PM,51.41,69,3547.29,ASX,
3:32:37 PM,51.41,489,25139.49,ASX,
3:32:37 PM,51.42,123,6324.66,CXA,
3:32:22 PM,51.37,694,35650.78,CXA,
3:32:11 PM,51.37,2000,102740,CXA,
3:32:10 PM,51.37,977,50188.49,CXA,
3:32:05 PM,51.36,62,3184.32,ASX,
3:32:05 PM,51.36,31,1592.16,ASX,
3:32:05 PM,51.36,320,16435.2,ASX,
3:32:05 PM,51.36,73,3749.28,ASX,
3:31:51 PM,51.36,87,4468.32,ASX,
3:29:49 PM,51.31,194,9954.14,ASX,
3:29:39 PM,51.31,194,9954.14,ASX,
3:28:01 PM,51.34,1,51.34,ASX,
