Time,Price $,Volume,Value $,Market,Condition
4:10:16 PM,2.05,14618,29966.9,ASX,
4:10:16 PM,2.05,10924,22394.2,ASX,
4:10:16 PM,2.05,5,10.25,ASX,
4:10:16 PM,2.05,2129,4364.45,ASX,
3:59:51 PM,2.06,2,4.12,ASX,
3:58:42 PM,2.07,750,1552.5,ASX,
3:58:38 PM,2.06,1,2.06,ASX,
3:56:48 PM,2.05,3576,7330.8,ASX,XT
3:56:48 PM,2.05,2252,4616.6,ASX,
3:56:48 PM,2.06,3,6.18,ASX,
3:56:48 PM,2.06,274,564.44,ASX,
3:56:48 PM,2.06,21,43.26,ASX,
3:56:48 PM,2.06,6230,12833.8,ASX,
3:56:48 PM,2.06,4,8.24,CXA,
3:56:48 PM,2.06,131,269.86,CXA,
3:56:48 PM,2.06,8,16.48,CXA,
3:54:36 PM,2.08,578,1202.24,ASX,
3:54:34 PM,2.08,3293,6849.44,ASX,
3:54:34 PM,2.07,25000,51750,ASX,XT
3:54:34 PM,2.07,4000,8280,ASX,
3:54:34 PM,2.07,200,414,ASX,
3:54:34 PM,2.07,4,8.28,ASX,
3:54:34 PM,2.07,214,442.98,ASX,XT
3:54:34 PM,2.07,11679,24175.53,ASX,
3:54:34 PM,2.07,100,207,CXA,
3:54:34 PM,2.07,100,207,CXA,
3:54:34 PM,2.07,410,848.7,CXA,
3:54:34 PM,2.07,5000,10350,CXA,
3:54:06 PM,2.05,4,8.2,ASX,
3:49:14 PM,2.05,1744,3575.2,ASX,
3:49:14 PM,2.05,197,403.85,ASX,
3:49:14 PM,2.05,59,120.95,ASX,
3:46:59 PM,2.04,11384,23223.36,ASX,
3:46:59 PM,2.04,3616,7376.64,ASX,
3:45:47 PM,2.07,1459,3020.13,ASX,
3:45:47 PM,2.06,5,10.3,ASX,
3:45:47 PM,2.06,736,1516.16,ASX,
3:44:42 PM,2.06,21,43.26,ASX,
3:44:37 PM,2.06,273,562.38,ASX,
3:44:37 PM,2.06,220,453.2,ASX,
3:44:37 PM,2.06,5,10.3,ASX,
3:44:37 PM,2.06,199,409.94,ASX,
3:44:18 PM,2.06,9,18.54,ASX,
3:44:12 PM,2.06,2,4.12,ASX,
3:44:06 PM,2.06,16,32.96,ASX,
3:44:01 PM,2.06,3,6.18,ASX,
3:43:59 PM,2.06,4,8.24,ASX,
3:43:50 PM,2.06,111,228.66,ASX,
3:43:47 PM,2.04,1030,2101.2,CXA,
3:43:47 PM,2.04,80,163.2,CXA,
3:43:47 PM,2.04,190,387.6,CXA,
3:43:38 PM,2.06,156,321.36,ASX,
3:43:35 PM,2.06,121,249.26,ASX,
3:43:33 PM,2.06,2500,5150,ASX,
3:41:17 PM,2.06,11,22.66,ASX,
3:41:16 PM,2.06,100,206,ASX,
3:39:22 PM,2.06,245,504.7,ASX,
3:37:43 PM,2.06,252,519.12,ASX,
3:37:14 PM,2.05,5,10.25,ASX,
3:37:14 PM,2.05,4000,8200,ASX,
3:37:14 PM,2.05,4324,8864.2,ASX,XT
3:37:03 PM,2.05,2769,5676.45,ASX,
3:37:02 PM,2.05,1800,3690,ASX,
3:37:02 PM,2.05,100,205,CXA,
3:37:02 PM,2.05,100,205,CXA,
3:35:47 PM,2.05,7860,16113,ASX,
3:34:52 PM,2.05,5000,10250,ASX,
3:34:03 PM,2.05,2231,4573.55,ASX,
3:34:03 PM,2.05,1548,3173.4,ASX,
3:34:03 PM,2.05,1000,2050,CXA,
3:34:03 PM,2.05,11,22.55,CXA,
3:34:03 PM,2.05,110,225.5,CXA,
3:34:03 PM,2.05,100,205,CXA,
3:33:52 PM,2.04,384,783.36,ASX,
3:33:52 PM,2.04,2945,6007.8,ASX,
