Course Of Sales
Time,Price ($),Volume,Value ($),Condition
16/03/2016 04:53:43 PM,.00,0,.00,
16/03/2016 04:32:12 PM,16.60,791,13130.60,ET XT
16/03/2016 04:10:27 PM,.00,0,.00,
16/03/2016 04:10:27 PM,.00,0,.00,
16/03/2016 04:10:27 PM,.00,0,.00,
16/03/2016 04:10:27 PM,.00,0,.00,
16/03/2016 04:10:27 PM,16.60,1,16.60,
16/03/2016 04:10:27 PM,16.60,999,16583.40,
16/03/2016 04:10:27 PM,16.60,6259,103899.40,
16/03/2016 04:10:27 PM,16.60,3675,61005.00,
16/03/2016 04:10:27 PM,16.60,2400,39840.00,
16/03/2016 04:10:27 PM,16.60,10548,175096.80,
16/03/2016 04:10:27 PM,16.60,488,8100.80,
16/03/2016 04:10:27 PM,16.60,20,332.00,
16/03/2016 04:10:27 PM,16.60,1937,32154.20,
16/03/2016 04:10:27 PM,16.60,5019,83315.40,XT
16/03/2016 04:10:27 PM,16.60,342,5677.20,
16/03/2016 04:10:27 PM,16.60,2298,38146.80,
16/03/2016 04:10:27 PM,16.60,210,3486.00,
16/03/2016 04:10:27 PM,16.60,232,3851.20,
16/03/2016 04:10:27 PM,16.60,632,10491.20,
16/03/2016 04:10:27 PM,16.60,32766,543915.60,
16/03/2016 04:10:27 PM,16.60,2015,33449.00,
16/03/2016 04:10:27 PM,16.60,3423,56821.80,XT
16/03/2016 04:10:27 PM,16.60,2958,49102.80,XT
16/03/2016 04:10:27 PM,16.60,500,8300.00,
16/03/2016 04:10:27 PM,16.60,954,15836.40,
16/03/2016 04:10:27 PM,16.60,5000,83000.00,XT
16/03/2016 04:10:27 PM,16.60,44046,731163.60,
16/03/2016 04:10:27 PM,16.60,492,8167.20,
16/03/2016 04:10:27 PM,16.60,1218,20218.80,
16/03/2016 04:10:27 PM,16.60,324,5378.40,
16/03/2016 04:10:27 PM,16.60,1361,22592.60,
16/03/2016 04:10:27 PM,16.60,404,6706.40,
16/03/2016 04:10:27 PM,16.60,784,13014.40,
16/03/2016 04:10:27 PM,16.60,1000,16600.00,
16/03/2016 04:10:27 PM,16.60,4000,66400.00,
16/03/2016 04:10:27 PM,16.60,20000,332000.00,
16/03/2016 04:10:27 PM,16.60,1559,25879.40,
16/03/2016 04:10:27 PM,16.60,9350,155210.00,
16/03/2016 04:10:27 PM,16.60,4315,71629.00,
16/03/2016 04:10:27 PM,16.60,1000,16600.00,
16/03/2016 04:10:27 PM,16.60,3134,52024.40,
16/03/2016 04:10:27 PM,16.60,2552,42363.20,
16/03/2016 04:10:27 PM,16.60,2763,45865.80,
16/03/2016 04:10:27 PM,16.60,245,4067.00,
16/03/2016 04:10:27 PM,16.60,5197,86270.20,
16/03/2016 04:10:27 PM,16.60,887,14724.20,
16/03/2016 04:10:27 PM,16.60,2430,40338.00,
16/03/2016 04:10:27 PM,16.60,126,2091.60,
16/03/2016 04:10:27 PM,16.60,1383,22957.80,XT
16/03/2016 04:10:27 PM,16.60,286,4747.60,XT
16/03/2016 04:10:27 PM,16.60,35688,592420.80,XT
16/03/2016 04:10:27 PM,16.60,1985,32951.00,XT
16/03/2016 04:10:27 PM,16.60,658,10922.80,XT
16/03/2016 04:10:27 PM,16.60,268,4448.80,XT
16/03/2016 04:10:27 PM,16.60,14631,242874.60,
16/03/2016 04:10:27 PM,16.60,83,1377.80,
16/03/2016 04:10:27 PM,16.60,160,2656.00,
16/03/2016 04:10:27 PM,16.60,4622,76725.20,
16/03/2016 04:10:27 PM,16.60,343,5693.80,
16/03/2016 04:10:27 PM,16.60,1688,28020.80,
16/03/2016 04:10:27 PM,16.60,515,8549.00,
16/03/2016 04:10:27 PM,16.60,54,896.40,
16/03/2016 04:10:27 PM,16.60,86,1427.60,
16/03/2016 04:10:27 PM,16.60,25,415.00,
16/03/2016 04:10:27 PM,16.60,191,3170.60,XT
16/03/2016 04:10:27 PM,16.60,487,8084.20,XT
16/03/2016 04:10:27 PM,16.60,487,8084.20,XT
16/03/2016 04:10:27 PM,16.60,1,16.60,
16/03/2016 04:10:27 PM,16.60,182,3021.20,
16/03/2016 04:10:27 PM,16.60,2813,46695.80,
16/03/2016 04:10:27 PM,16.60,225,3735.00,
16/03/2016 04:10:27 PM,16.60,488,8100.80,
16/03/2016 04:10:27 PM,16.60,152,2523.20,
16/03/2016 04:10:27 PM,16.60,21,348.60,
16/03/2016 04:10:27 PM,16.60,53,879.80,XT
16/03/2016 04:10:27 PM,16.60,3880,64408.00,
16/03/2016 04:10:27 PM,16.60,203,3369.80,
16/03/2016 04:10:27 PM,16.60,425,7055.00,
16/03/2016 04:10:27 PM,16.60,1477,24518.20,
16/03/2016 04:10:27 PM,16.60,6290,104414.00,
16/03/2016 04:10:27 PM,16.60,4750,78850.00,
