Course Of Sales
Time,Price ($),Volume,Value ($),Condition
12/10/2017 04:13:57 PM,3.04,101973,309997.92,L3 XT
12/10/2017 04:10:27 PM,3.04,24114,73306.56,
12/10/2017 04:10:27 PM,3.04,7053,21441.12,
12/10/2017 04:10:27 PM,3.04,18833,57252.32,
12/10/2017 04:10:27 PM,3.04,1231,3742.24,
12/10/2017 04:10:27 PM,3.04,26402,80262.08,
12/10/2017 04:10:27 PM,3.04,14193,43146.72,
12/10/2017 04:10:27 PM,3.04,8174,24848.96,
12/10/2017 04:10:27 PM,3.04,14179,43104.16,
12/10/2017 04:10:27 PM,3.04,1300,3952.00,
12/10/2017 04:10:27 PM,3.04,37685,114562.40,
12/10/2017 04:10:27 PM,3.04,33943,103186.72,
12/10/2017 04:10:27 PM,3.04,6052,18398.08,
12/10/2017 04:10:27 PM,3.04,39916,121344.64,
12/10/2017 04:10:27 PM,3.04,28393,86314.72,
12/10/2017 04:10:27 PM,3.04,42190,128257.60,
12/10/2017 04:10:27 PM,3.04,25000,76000.00,
12/10/2017 04:10:27 PM,3.04,2319,7049.76,
12/10/2017 04:10:27 PM,3.04,14424,43848.96,
12/10/2017 04:10:27 PM,3.04,45479,138256.16,
12/10/2017 04:10:27 PM,3.04,3891,11828.64,
12/10/2017 04:10:27 PM,3.04,30767,93531.68,
12/10/2017 04:10:27 PM,3.04,32048,97425.92,
12/10/2017 04:10:27 PM,3.04,27414,83338.56,
12/10/2017 04:10:27 PM,3.04,5880,17875.20,
12/10/2017 04:10:27 PM,3.04,25825,78508.00,
12/10/2017 04:10:27 PM,3.04,3059,9299.36,
12/10/2017 04:10:27 PM,3.04,124,376.96,
12/10/2017 04:10:27 PM,3.04,23076,70151.04,
12/10/2017 04:10:27 PM,3.04,73741,224172.64,
12/10/2017 04:10:27 PM,3.04,1581,4806.24,
12/10/2017 04:10:27 PM,3.04,11346,34491.84,
12/10/2017 04:10:27 PM,3.04,10081,30646.24,
12/10/2017 04:10:27 PM,3.04,6430,19547.20,
12/10/2017 04:10:27 PM,3.04,8070,24532.80,
12/10/2017 04:10:27 PM,3.04,1789,5438.56,
12/10/2017 04:10:27 PM,3.04,27719,84265.76,
12/10/2017 04:10:27 PM,3.04,28279,85968.16,
12/10/2017 04:10:27 PM,3.04,5000,15200.00,
12/10/2017 04:10:27 PM,3.04,42286,128549.44,
12/10/2017 04:10:27 PM,3.04,115853,352193.12,
12/10/2017 04:10:27 PM,3.04,30966,94136.64,
12/10/2017 04:10:27 PM,3.04,12862,39100.48,
12/10/2017 04:10:27 PM,3.04,27082,82329.28,
12/10/2017 04:10:27 PM,3.04,33663,102335.52,
12/10/2017 04:10:27 PM,3.04,90517,275171.68,
12/10/2017 04:10:27 PM,3.04,50000,152000.00,
12/10/2017 04:10:27 PM,3.04,3203,9737.12,
12/10/2017 04:10:27 PM,3.04,15000,45600.00,
12/10/2017 04:10:27 PM,3.04,2089,6350.56,
12/10/2017 04:10:27 PM,3.04,45945,139672.80,
12/10/2017 04:10:27 PM,3.04,762,2316.48,
12/10/2017 04:10:27 PM,3.04,1368,4158.72,XT
12/10/2017 04:10:27 PM,3.04,1925,5852.00,XT
12/10/2017 04:10:27 PM,3.04,1485,4514.40,
12/10/2017 04:10:27 PM,3.04,187,568.48,
12/10/2017 04:10:27 PM,3.04,12812,38948.48,
12/10/2017 04:10:27 PM,3.04,21256,64618.24,
12/10/2017 04:10:27 PM,3.04,3067,9323.68,
