Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
27409852,2019.06.06 23:23:08,balance,BPAY Received,200,,,,,,,,,
27460422,2019.06.11 01:35:02,buy,0.01,eurusd,1.13131,1.13108,1.13381,2019.06.11 02:08:02,1.13146,0,0,0,0.21
27465045,2019.06.11 03:15:06,buy,0.01,eurusd,1.1309,1.13112,1.1334,2019.06.11 05:48:34,1.13163,0,0,0,1.05
27467679,2019.06.11 05:56:20,sell,0.01,eurusd,1.13169,1.132,1.12919,2019.06.11 07:02:18,1.132,0,0,0,-0.45
27468425,2019.06.11 07:15:00,sell,0.01,eurusd,1.13196,1.13256,1.12946,2019.06.11 08:18:17,1.13256,0,0,0,-0.87
27469837,2019.06.11 08:35:00,sell,0.01,eurusd,1.13286,1.13238,1.13036,2019.06.11 09:12:13,1.1322,0,0,0,0.95
27493811,2019.06.12 04:25:41,sell,0.01,eurusd,1.13293,1.13349,0,2019.06.12 05:58:19,1.13349,0,0,0,-0.81
27521122,2019.06.13 00:20:13,buy,0.01,eurusd,1.12939,1.1298,1.13439,2019.06.13 07:37:15,1.1298,0,0,0,0.59
27792609,2019.06.26 15:00:00,sell,0.01,eurusd,1.13502,1.13581,0,2019.06.26 15:05:08,1.13581,0,0,0,-1.14
27792762,2019.06.26 15:05:09,sell,0.01,eurusd,1.13575,1.13654,0,2019.06.26 15:22:02,1.13654,0,0,0,-1.13
27794543,2019.06.26 16:10:01,buy,0.01,eurusd,1.13775,1.13696,0,2019.06.26 19:31:21,1.13696,0,0,0,-1.13
27799885,2019.06.27 00:42:43,buy,0.01,eurusd,1.13739,1.13689,1.13897,2019.06.27 01:30:58,1.13689,0,0,0,-0.72
27800767,2019.06.27 02:20:35,sell,0.01,eurusd,1.13704,1.13538,1.12481,2019.06.27 06:41:03,1.13538,0,0,0,2.37
27809693,2019.06.27 08:06:36,buy,0.01,gbpusd,1.26956,1.27008,0,2019.06.27 08:16:23,1.27008,0,0,0,0.74
27809988,2019.06.27 08:16:40,sell,0.01,gbpusd,1.26994,1.27066,0,2019.06.27 08:20:56,1.27056,0,0,0,-0.89
27810186,2019.06.27 08:25:15,sell,0.01,gbpusd,1.26996,1.26974,0,2019.06.27 08:44:15,1.2695,0,0,0,0.66
27810789,2019.06.27 08:48:59,sell,0.01,gbpusd,1.2694,1.26886,0,2019.06.27 09:00:21,1.26879,0,0,0,0.87
