Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABP,Abacus Property Group,Real Estate,"2,380,270,000",0.12,,"1,970,081,450,800",
AX1,Accent Group Limited,Consumer Discretionary,"749,619,000",0.04,,,
ABC,Adelaide Brighton,Materials,"2,632,960,000",0.13,,Sector Breakdown,
APT,Afterpay Touch,Information Technology,"6,333,580,000",0.32,,Consumer Discretionary,7.02
AGL,AGL Energy Limited,Utilities,"13,123,100,000",0.67,,Consumer Staples,5.27
ALQ,Als Limited,Industrials,"3,563,680,000",0.18,,Energy,5.56
ALU,Altium Limited,Information Technology,"4,463,490,000",0.23,,Financials,29.43
AJM,Altura Mining Limited,Materials,"244,428,000",0.01,,Health Care,8.66
AWC,Alumina Limited,Materials,"6,710,040,000",0.34,,Industrials,9.03
AMA,AMA Group Limited,Industrials,"771,008,000",0.04,,Information Technology,3.71
AYS,Amaysim Aus Limited,Telecommunication Services,"218,382,000",0.01,,Materials,18.49
AMC,Amcor Plc Cdi 1:1 Foreign Exempt NYSE,Materials,"18,346,500,000",0.93,,Real Estate,7.63
AMP,AMP Limited,Financials,"6,246,570,000",0.32,,Telecommunication Services,3.28
ANN,Ansell Limited,Health Care,"3,555,010,000",0.18,,Utilities,1.91
ANZ,ANZ Banking Group Limited,Financials,"79,923,900,000",4.06,,,
APA,APA Group FP Units Stapled Securities,Utilities,"12,742,900,000",0.65,,,
ADI,Apn Industria REIT,Real Estate,"523,533,000",0.03,,,
APX,Appen Limited,Information Technology,"3,386,140,000",0.17,,,
ARB,ARB Corporation,Consumer Discretionary,"1,451,000,000",0.07,,,
ALG,Ardentleisuregrpltd,Consumer Discretionary,"503,691,000",0.03,,,
ARF,Arena REIT,Real Estate,"798,232,000",0.04,,,
ALL,Aristocrat Leisure,Consumer Discretionary,"19,616,100,000",1,,,
ARQ,ARQ Group Limited,Information Technology,"85,491,800",0,,,
AHY,Asaleo Care Limited,Consumer Staples,"491,526,000",0.02,,,
ASX,ASX Limited,Financials,"15,946,400,000",0.81,,,
ALX,Atlas Arteria,Industrials,"5,356,800,000",0.27,,,
AUB,AUB Group Limited,Financials,"767,369,000",0.04,,,
AIA,Auckland Internation Foreign Exempt NZX,Industrials,"11,289,500,000",0.57,,,
AMI,Aurelia Metals Limited,Materials,"429,600,000",0.02,,,
AZJ,Aurizon Holdings Limited,Industrials,"10,746,700,000",0.55,,,
ASL,Ausdrill Limited,Materials,"1,251,410,000",0.06,,,
AST,Ausnet Services Limited,Utilities,"6,848,750,000",0.35,,,
ASB,Austal Limited,Industrials,"1,203,010,000",0.06,,,
AAC,Australian Agricult,Consumer Staples,"599,753,000",0.03,,,
API,Australian Pharm,Health Care,"650,144,000",0.03,,,
AHG,Automotive Holdings,Consumer Discretionary,"928,544,000",0.05,,,
AVN,Aventus Group,Real Estate,"1,230,820,000",0.06,,,
AOG,Aveo Group,Real Estate,"1,091,790,000",0.06,,,
BBN,Baby Bunting Group Limited,Consumer Discretionary,"273,113,000",0.01,,,
BOQ,Bank of Queensland,Financials,"3,867,130,000",0.2,,,
BAP,Bapcor Limited,Consumer Discretionary,"1,581,820,000",0.08,,,
BPT,Beach Energy Limited,Energy,"4,522,320,000",0.23,,,
BGA,Bega Cheese Limited,Consumer Staples,"1,021,650,000",0.05,,,
BAL,Bellamy's Australia,Consumer Staples,"942,091,000",0.05,,,
BEN,Bendigo and Adelaide,Financials,"5,679,420,000",0.29,,,
BHP,BHP Group Limited,Materials,"121,251,000,000",6.15,,,
BIN,Bingo Industries Limited,Industrials,"1,494,150,000",0.08,,,
BKL,Blackmores Limited,Consumer Staples,"1,560,970,000",0.08,,,
BSL,Bluescope Steel Limited,Materials,"6,256,670,000",0.32,,,
BLD,Boral Limited,Materials,"6,002,340,000",0.3,,,
BXB,Brambles Limited,Industrials,"20,541,000,000",1.04,,,
BVS,Bravura Solution Limited,Information Technology,"1,181,810,000",0.06,,,
BRG,Breville Group Limited,Consumer Discretionary,"2,128,360,000",0.11,,,
BKW,Brickworks Limited,Materials,"2,439,780,000",0.12,,,
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,363,970,000",0.12,,,
BWX,BWX Limited,Consumer Staples,"226,756,000",0.01,,,
CTX,Caltex Australia,Energy,"6,180,250,000",0.31,,,
CDD,Cardno Limited,Industrials,"419,835,000",0.02,,,
CVN,Carnarvon Petroleum,Energy,"805,636,000",0.04,,,
CAR,Carsales.com Limited,Information Technology,"3,306,020,000",0.17,,,
CWP,Cedar Woods Prop,Real Estate,"456,671,000",0.02,,,
CIP,Centuria I REIT Ordinary Units FP,Real Estate,"828,791,000",0.04,,,
CMA,Centuria Metro REIT Ordinary Units FP,Real Estate,"997,616,000",0.05,,,
CGF,Challenger Limited,Financials,"4,061,000,000",0.21,,,
CQE,Charter Hall Edu TR Units FP,Real Estate,"1,094,280,000",0.06,,,
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"5,044,370,000",0.26,,,
CQR,Charter Hall Retail Units FP,Real Estate,"1,926,740,000",0.1,,,
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,"2,389,730,000",0.12,,,
CLW,CHTR H LWR FP Units Stapled Securities,Real Estate,"1,618,160,000",0.08,,,
CIM,Cimic Group Limited,Industrials,"14,516,900,000",0.74,,,
CL1,Class Limited,Information Technology,"175,905,000",0.01,,,
CLQ,Clean TEQ Holdings Limited,Industrials,"283,655,000",0.01,,,
CWY,Cleanaway Waste Limited,Industrials,"4,763,700,000",0.24,,,
CUV,Clinuvel Pharmaceut,Health Care,"1,648,990,000",0.08,,,
CCL,Coca-Cola Amatil,Consumer Staples,"7,399,280,000",0.38,,,
COH,Cochlear Limited,Health Care,"11,937,900,000",0.61,,,
COL,Coles Group,Consumer Staples,"17,808,000,000",0.9,,,
CKF,Collins Foods Limited,Consumer Discretionary,"967,047,000",0.05,,,
CBA,Commonwealth Bank,Financials,"146,540,000,000",7.44,,,
CPU,Computershare Limited,Information Technology,"8,801,310,000",0.45,,,
COE,Cooper Energy Limited,Energy,"875,637,000",0.04,,,
CTD,Corp Travel Limited,Consumer Discretionary,"2,441,070,000",0.12,,,
CGC,Costa Group Holdings,Consumer Staples,"1,295,040,000",0.07,,,
CCP,Credit Corp Group,Financials,"1,456,430,000",0.07,,,
CMW,Cromwell Prop,Real Estate,"2,583,320,000",0.13,,,
CWN,Crown Resorts Limited,Consumer Discretionary,"8,430,620,000",0.43,,,
CSL,CSL Limited,Health Care,"97,424,800,000",4.95,,,
CSR,CSR Limited,Materials,"1,951,310,000",0.1,,,
CYB,CYBG Plc Cdi 1:1 Foreign Exempt Lse,Financials,"3,061,550,000",0.16,,,
DCN,Dacian Gold Limited,Materials,"119,628,000",0.01,,,
DXS,Dexus FP Units Stapled Securities,Real Estate,"14,237,200,000",0.72,,,
DHG,Domain Holdings Aus,Information Technology,"1,854,190,000",0.09,,,
DMP,Domino PIZZA Enterpr,Consumer Discretionary,"3,223,270,000",0.16,,,
DOW,Downer Edi Limited,Industrials,"4,115,340,000",0.21,,,
DLX,Duluxgroup Limited,Materials,"3,627,810,000",0.18,,,
ECX,Eclipx Group Limited,Financials,"418,724,000",0.02,,,
ELD,Elders Limited,Consumer Staples,"726,358,000",0.04,,,
EHL,Emeco Holdings,Industrials,"669,050,000",0.03,,,
EML,EML Payments Limited,Information Technology,"742,823,000",0.04,,,
EHE,Estia Health Limited,Health Care,"687,991,000",0.03,,,
A2M,The a2 Milk Company,Consumer Staples,"10,178,300,000",0.52,,,
EPW,Erm Power Limited,Utilities,"469,143,000",0.02,,,
EVN,Evolution Mining Limited,Materials,"7,399,220,000",0.38,,,
FAR,FAR Limited,Energy,"433,347,000",0.02,,,
FBU,Fletcher Building Foreign Exempt NZX,Materials,"3,976,600,000",0.2,,,
FLT,Flight Centre Travel,Consumer Discretionary,"4,200,940,000",0.21,,,
FMG,Fortescue Metals Group,Materials,"27,772,300,000",1.41,,,
FNP,Freedom Food Limited,Consumer Staples,"1,386,350,000",0.07,,,
FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,"8,509,600,000",0.43,,,
FXL,Flexigroup Limited,Financials,"642,858,000",0.03,,,
GDI,GDI Property Group,Real Estate,"747,318,000",0.04,,,
GEM,G8 Education Limited,Consumer Discretionary,"1,388,940,000",0.07,,,
GMA,Genworth Mortgage,Financials,"1,166,720,000",0.06,,,
GMG,Goodman Group,Real Estate,"27,262,600,000",1.38,,,
GNC,Graincorp Limited Class A,Consumer Staples,"1,823,980,000",0.09,,,
GOR,Gold Road Res Limited,Materials,"869,197,000",0.04,,,
GOZ,Growthpoint Property,Real Estate,"2,998,510,000",0.15,,,
GPT,GPT Group,Real Estate,"11,910,600,000",0.6,,,
GUD,G.U.D. Holdings,Consumer Discretionary,"865,725,000",0.04,,,
GWA,GWA Group Limited,Industrials,"902,701,000",0.05,,,
GXY,Galaxy Resources,Materials,"501,444,000",0.03,,,
HLS,Healius,Health Care,"1,879,410,000",0.1,,,
