,index,open,high,low,close,volume,adjusted,created_date,last_updated,pandas_SMA_200,signal,365-Day-High,365-Day-Low
0,2015-02-18,20.0,20.0,20.0,20.0,0,16.2176,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
1,2015-02-19,19.9605,19.9605,19.9605,19.9605,0,16.1856,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
2,2015-02-20,19.8895,19.8895,19.8895,19.8895,0,16.128,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
3,2015-02-23,19.9827,19.9827,19.9827,19.9827,0,16.2036,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
4,2015-02-24,20.0883,20.0883,20.0883,20.0883,0,16.2892,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
5,2015-02-25,20.188,20.188,20.188,20.188,0,16.3701,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
6,2015-02-26,20.0789,20.0789,20.0789,20.0789,0,16.2816,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
7,2015-02-27,20.1446,20.1446,20.1446,20.1446,0,16.3349,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
8,2015-03-02,20.2681,20.2681,20.2681,20.2681,0,16.435,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
9,2015-03-03,20.185,20.185,20.185,20.185,0,16.3677,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
10,2015-03-04,20.0843,20.0843,20.0843,20.0843,0,16.286,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
11,2015-03-05,20.0918,20.0918,20.0918,20.0918,0,16.2921,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
12,2015-03-06,20.0849,20.0849,20.0849,20.0849,0,16.2865,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
13,2015-03-09,19.8324,19.8324,19.8324,19.8324,0,16.0817,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
14,2015-03-10,19.8369,19.8369,19.8369,19.8369,0,16.0854,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
15,2015-03-11,19.7581,19.7581,19.7581,19.7581,0,16.0215,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
16,2015-03-12,19.9408,19.9408,19.9408,19.9408,0,16.1696,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
17,2015-03-13,19.8039,19.8039,19.8039,19.8039,0,16.0586,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
18,2015-03-16,19.7701,19.7701,19.7701,19.7701,0,16.0312,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
19,2015-03-17,19.9457,19.9457,19.9457,19.9457,0,16.1736,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
20,2015-03-18,19.9511,19.9511,19.9511,19.9511,0,16.178,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
21,2015-03-19,20.3436,20.3436,20.3436,20.3436,0,16.4963,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
22,2015-03-20,20.4324,20.4324,20.4324,20.4324,0,16.5683,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
23,2015-03-23,20.3595,20.3595,20.3595,20.3595,0,16.5092,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
24,2015-03-24,20.3949,20.3949,20.3949,20.3949,0,16.5379,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
25,2015-03-25,20.4151,20.4151,20.4151,20.4151,0,16.5542,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
26,2015-03-26,20.0893,20.0893,20.0893,20.0893,0,16.2901,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
27,2015-03-27,20.2237,20.2237,20.2237,20.2237,0,16.399,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
28,2015-03-30,19.9725,19.9725,19.9725,19.9725,0,16.1953,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
29,2015-03-31,20.1234,20.1234,20.1234,20.1234,0,16.3177,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
30,2015-04-01,20.0155,20.0155,20.0155,20.0155,0,16.2302,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
31,2015-04-02,20.1397,20.1397,20.1397,20.1397,0,16.3309,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
32,2015-04-07,20.26,20.26,20.26,20.26,492,16.4285,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
33,2015-04-08,20.3562,20.3562,20.3562,20.3562,0,16.5065,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
34,2015-04-09,20.35,20.35,20.35,20.35,70,16.5015,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
35,2015-04-10,20.3815,20.3815,20.3815,20.3815,0,16.527,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
36,2015-04-13,20.3349,20.3349,20.3349,20.3349,0,16.4892,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
37,2015-04-14,20.278,20.278,20.278,20.278,0,16.4431,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
38,2015-04-15,20.1581,20.1581,20.1581,20.1581,0,16.3458,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
39,2015-04-16,20.2851,20.2851,20.2851,20.2851,0,16.4488,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
40,2015-04-17,20.0561,20.0561,20.0561,20.0561,0,16.2631,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
41,2015-04-20,19.9023,19.9023,19.9023,19.9023,0,16.1384,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
42,2015-04-21,20.06,20.06,20.06,20.06,5906,16.2663,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
43,2015-04-22,19.8894,19.8894,19.8894,19.8894,0,16.128,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
44,2015-04-23,20.0,20.0,19.89,19.89,140,16.1284,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
45,2015-04-24,20.21,20.21,20.21,20.21,30000,16.3879,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
46,2015-04-27,20.3949,20.3949,20.3949,20.3949,0,16.5379,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
47,2015-04-28,20.2816,20.2816,20.2816,20.2816,0,16.446,2020-03-07 15:05:16,2020-03-07 15:05:16,,,,
48,2015-04-29,19.8866,19.8866,19.8866,19.8866,0,16.1257,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
49,2015-04-30,19.7148,19.7148,19.7148,19.7148,0,15.9864,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
50,2015-05-01,19.7937,19.7937,19.7937,19.7937,0,16.0504,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
51,2015-05-04,19.81,19.81,19.81,19.81,0,16.0636,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
52,2015-05-05,19.8001,19.8001,19.8001,19.8001,0,16.0555,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
53,2015-05-06,19.3284,19.3284,19.3284,19.3284,0,15.6731,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
54,2015-05-07,19.1793,19.1793,19.1793,19.1793,0,15.5522,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
55,2015-05-08,19.156,19.156,19.156,19.156,0,15.5333,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
56,2015-05-11,19.1211,19.1211,19.1211,19.1211,0,15.505,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
57,2015-05-12,19.3075,19.3075,19.3075,19.3075,0,15.6561,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
58,2015-05-13,19.4757,19.4757,19.4757,19.4757,0,15.7925,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
59,2015-05-14,19.4229,19.4229,19.4229,19.4229,0,15.7497,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
60,2015-05-15,19.5914,19.5914,19.5914,19.5914,0,15.8863,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
61,2015-05-18,19.3232,19.3232,19.3232,19.3232,0,15.6688,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
62,2015-05-19,19.3,19.3,19.29,19.29,577,15.6419,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
63,2015-05-20,19.1595,19.1595,19.1595,19.1595,0,15.5361,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
64,2015-05-21,19.3367,19.3367,19.3367,19.3367,0,15.6798,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
65,2015-05-22,19.3335,19.3335,19.3335,19.3335,0,15.6772,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
66,2015-05-25,19.5419,19.5419,19.5419,19.5419,0,15.8462,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
67,2015-05-26,19.7365,19.7365,19.7365,19.7365,0,16.004,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
68,2015-05-27,19.574,19.574,19.574,19.574,0,15.8722,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
69,2015-05-28,19.5405,19.5405,19.5405,19.5405,0,15.845,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
70,2015-05-29,19.82,19.82,19.82,19.82,1034,16.0717,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
71,2015-06-01,19.6204,19.6204,19.6204,19.6204,0,15.9098,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
72,2015-06-02,19.2738,19.2738,19.2738,19.2738,0,15.6288,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
73,2015-06-03,19.2,19.2,19.2,19.2,100,15.5689,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
74,2015-06-04,18.8282,18.8282,18.8282,18.8282,0,15.2675,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
75,2015-06-05,18.7932,18.7932,18.7932,18.7932,0,15.2391,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
76,2015-06-09,18.7065,18.7065,18.7065,18.7065,0,15.1688,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
77,2015-06-10,18.7374,18.7374,18.7374,18.7374,0,15.1938,2020-03-07 15:05:17,2020-03-07 15:05:17,,,,
